Marriott School Common Core classes,ACC,ENT,EXDM,FIN,GSCM,HRM,IS,MKTG,STRAT
ACC 200,.,.,.,.,.,.,.,.,.
ECON 110,.,.,.,.,.,.,.,.,.
ACC 241 / ENT 302,.,.,X,.,X,.,X,.,.
FIN 201,.,.,.,.,.,.,.,.,.
GSCM 201/211,X,.,.,.,.,.,.,.,.
HRM 391,.,.,.,.,.,*,.,.,.
IS 110,.,.,.,.,.,.,.,.,.
IS 201,.,.,.,.,.,.,.,.,.
Lecture series,?,.,?,.,.,.,X,.,.
M Com 320,.,.,.,.,.,.,.,.,.
MKTG 201,.,.,.,.,.,.,.,.,.
MSB 325,*,.,X,X?,*,.,*,.,*
MSB 390,*,.,.,.,.,.,.,.,.
STAT 121,X,.,X,.,.,.,.,.,.
STRAT 392 / ENT 402,.,*,.,.,.,.,.,.,*
,,,,,,,,,
"hours in our ""common"" core",,,,,,,,,
41,34*,41,31*,41*,38,41,37,41,41
