TA Name,name_id,name,linked_in_name,linkedin_id,current_byu,alltime_byu,current_byu_marriott,alltime_byu_marriott,total_byu_current,total_byu_alltime,linkedin url,firm_url,number_emp_linkedin,linkedin_overview
Ambrose Aggabao,accenture,Accenture Strategy,,1033,68,522,7,36,75,558,https://www.linkedin.com/company/accenture/,https://www.accenture.com/us-en,655671,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. We are a talent and innovation-led company serving clients in more than 120 countries. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. This LinkedIn company page is moderated. When engaging with Accenture, we encourage everyone to: - Use common courtesy and be respectful of others. - Create your own original content and avoid content that you know to be fraudulent. - Never repost someone else's copyrighted work, unless you have permission. - Never post personal, identifying, or confidential information. We reserve the right to delete comments or posts we deem to be: - Profane, obscene, inappropriate, offensive, abusive material. - Spam, repeated comments and commercial messages and personal advertisements. - Discriminatory or that contain hateful speech of any kind regarding age, gender, race, religion, nationality, sexual orientation, gender identity or disability. - Threats; personal attacks; abusive, defamatory, derogatory, or inflammatory language; or stalking or harassment of any individual, entity or organization. - False, inaccurate, libelous, or otherwise misleading in any way."
Grace Dyer,booz-allen,Booz Allen Hamilton,,1403,65,271,1,6,66,277,https://www.linkedin.com/company/booz-allen-hamilton/,http://www.boozallen.com/?cid=CACAPRO-CALI-CAWE-Home&source=SNS-17780,37368,"Whether at the border, up in space, or on the battlefield, we build the advanced technology that makes America stronger, faster, and safer. It’s who we are and what we do. It’s in our code."
David Fillmore,bain,Bain & Company,,2114,54,323,11,29,65,352,https://www.linkedin.com/company/bain-and-company/,https://www.bain.com/,22800,"Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future. Across 65 cities in 40 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today’s urgent challenges in education, racial equity, social justice, economic development, and the environment. We earned a platinum rating from EcoVadis, the leading platform for environmental, social, and ethical performance ratings for global supply chains, putting us in the top 1% of all companies. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client"
Ambrose Aggabao,deloitte,Deloitte Consulting,,1038,52,278,11,32,63,310,https://www.linkedin.com/company/deloitte/,https://www.deloitte.com/us/en.html,509963,"Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients. Please see www.deloitte.com/about to learn more. The content on this page contains general information only, and none of Deloitte Touche Tohmatsu Limited, its member firms, or their related entities (collectively the “Deloitte Network”) is, by means of this publication, rendering professional advice or services. Before making any decision or taking any action that may affect your finances or your business, you should consult a qualified professional adviser. No entity in the Deloitte Network shall be responsible for any loss whatsoever sustained by any person who relies on content from this page."
David Fillmore,bcg,Boston Consulting Group,,1784,43,173,6,18,49,191,https://www.linkedin.com/company/boston-consulting-group/,https://www.bcg.com/,40500,"Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place."
David Fillmore,mckinsey,McKinsey & Company,,1371,40,257,4,22,44,279,https://www.linkedin.com/company/mckinsey/,https://www.mckinsey.com/,38600,"McKinsey & Company is a global management consulting firm. We are the trusted advisor to the world's leading businesses, governments, and institutions. We work with leading organizations across the private, public and social sectors. Our scale, scope, and knowledge allow us to address problems that no one else can. We have deep functional and industry expertise as well as breadth of geographical reach. We are passionate about taking on immense challenges that matter to our clients and, often, to the world. We work with our clients as we do with our colleagues. We build their capabilities and leadership skills at every level and every opportunity. We do this to help build internal support, get to real issues, and reach practical recommendations. We bring out the capabilities of clients to fully participate in the process and lead the ongoing work."
David Fillmore,ey-parthenon,EY-Parthenon,,9519,31,16,10,5,41,21,https://www.linkedin.com/company/ey-parthenon/,https://www.ey.com/en_us/services/strategy/parthenon,17100,"Our unique combination of transformative strategy, transactions and corporate finance delivers real-world value – solutions that work in practice, not just on paper. Benefiting from EY’s full spectrum of services, we’ve reimagined strategic consulting to work in a world of increasing complexity. With deep functional and sector expertise, paired with innovative AI-powered technology and an investor mindset, we partner with CEOs, boards, private equity and governments every step of the way – enabling you to shape your future with confidence. EY-Parthenon is a brand under which a number of EY member firms across the globe provide strategy consulting services. For more information, please visit ey.com/parthenon."
David Fillmore,cicero-group,Cicero Group,,1262517,28,129,9,32,37,161,https://www.linkedin.com/company/cicerogroup/people/,https://cicerogroup.com/,156,"Cicero® is a premier management consulting firm focused on implementing data-driven strategies for a broad mix of private, public, and social sector organizations across the globe. Cicero is headquartered in Salt Lake City, Utah, with additional offices in New York City, and Washington D.C. Cicero uses data and experience to generate insights, create actionable strategies, and drive transformation with an overarching purpose of helping people create and continuously deliver extraordinary results. At Cicero, our people come first. We work hard to foster a culture where employees can thrive both professionally and personally. If you would like to learn more about career opportunities with Cicero, please visit us at www.cicerogroup.com/careers."
Grace Dyer,mercer,Mercer,,2423,32,280,2,24,34,304,https://www.linkedin.com/company/mercer/,http://www.mercer.com,22125,"At Mercer, A Marsh business, we’re helping our clients realize their investment objectives, shape the future of work, and enhance health and retirement outcomes for their people. As a business of Marsh, for 80 years, we’ve been helping our clients, colleagues and communities build the confidence to thrive, creating healthier and more sustainable futures. Together with Marsh Risk, Guy Carpenter, and Oliver Wyman, we help organizations build resilience and competitive advantages from every angle. With annual revenue over $24 billion and more than 90,000 colleagues in 130 countries, Marsh helps build the confidence to thrive through the power of perspective."
Grace Dyer,pwc-consulting,PwC Consulting,,1044,24,151,6,25,30,176,https://www.linkedin.com/showcase/pwc-us-consulting/,https://www.pwc.com/us/en.html,10000,"Preparing for tomorrow's workforce, today. At PwC, we help clients transform their businesses today in order to thrive tomorrow. As we all experience fundamental shifts in the way we work, our team is taking a holistic approach that encompasses business strategy, as well as operational, technological, regulatory, social and tax considerations to help our clients navigate the future."
