Category,Title,Points,Due Date
Reading Quizzes,Quiz 1,5,Th Jan 15 (in class)
Reading Quizzes,Quiz 2,5,Th Jan 22 (in class)
Reading Quizzes,Quiz 3,5,Th Jan 29 (in class)
Reading Quizzes,Quiz 4,5,Th Feb 5 (in class)
Reading Quizzes,Quiz 5,5,Th Feb 12 (in class)
Reading Quizzes,Quiz 6,5,Th Feb 26 (in class)
Reading Quizzes,Quiz 7,5,Th Mar 5 (in class)
Reading Quizzes,Quiz 8,5,Th Mar 12 (in class)
Reading Quizzes,Quiz 9,5,Th Apr 2 (in class)
Reading Quizzes,Quiz 10,5,T Apr 14 (in class)
Resume & Networking,Resume v1,15,Th Feb 5 11:59 PM
Resume & Networking,Resume v2,20,Th Feb 19 11:59 PM
Resume & Networking,Networking Tracker,25,T Apr 14 11:59 PM
Practice Interviews,Goals Chat,10,Sat Jan 24 11:59 PM
Practice Interviews,TA Interview and Mentoring 1,20,Sat Feb 7 11:59 PM
Practice Interviews,TA Interview and Mentoring 2,20,Sat Mar 7 11:59 PM
Practice Interviews,TA Interview and Mentoring 3,20,Sat Apr 11 11:59 PM
Practice Interviews,Peer Interviews (Interviewee),70,T Apr 14 11:59 PM
Practice Interviews,Peer Interviews (Interviewer),70,T Apr 14 11:59 PM
Client Work,P1: Intelligence Brief,40,Sat Feb 21 11:59 PM
Client Work,P2: Point of View,40,Sat Mar 21 11:59 PM
Client Work,Capstone: Conversation Deck,100,T Apr 14 11:59 PM
Surveys (Bonus),Mid-Semester Feedback Survey,5 (bonus),Sat Feb 14 11:59 PM
Surveys (Bonus),Student Ratings,5 (bonus),T Apr 14 11:59 PM
